TITLE,ADDRESS,PRICE,UNIT TYPE,BEDROOM,BATHROOM,SIZE,HYDRO,HEAT,WATER,LINK,LAT,LNG
Luxury bachelor condo at heart of Ottawa for rent,"242 Rideau, K1N 0B7, Ottawa, ON","1,490.00",Condo,Bachelor/Studio,1,440,No,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/luxury-bachelor-condo-at-heart-of-ottawa-for-rent/1488913069,45.4278254,-75.6871333
1 Bedroom Furnished Apartment All inclusive 5 min to downtown,"415 Coté St, Ottawa, ON K1K, Canada","1,000.00",Apartment,1,1,600,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/1-bedroom-furnished-apartment-all-inclusive-5-min-to-downtown/1488774556,45.4354962,-75.6494416
1 BR Furnished-CAF Ottawa - Live Next To NDHQ Carling- IR,"265 Poulin Ave, Ottawa, ON K2B 7Y8, Canada","1,600.00",Condo,1,1,820,No,No,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/1-br-furnished-caf-ottawa-live-next-to-ndhq-carling-ir/1478763101,45.3664273,-75.79335019999999
"1 Bedroom, furnished, all inclusive","Huron Ave N, Ottawa, ON K1Y 0V9, Canada","1,750.00",Apartment,1,1,650,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/1-bedroom-furnished-all-inclusive/1488491693,45.4021908,-75.7346074
Large Furnished Studio For Rent Downtown.,"530 De Mazenod Ave, Ottawa, ON K1S 5W8, Canada","1,950.00",Condo,Bachelor/Studio,1,514,No,Yes,No,https://www.kijiji.ca/v-apartments-condos/ottawa/large-furnished-studio-for-rent-downtown/1488378260,45.40832590000001,-75.6747123
Heart of Market - Furnished 1 BR,", Ottawa K1N0B1 ON, Canada","1,750.00",Condo,1,1,480,No,No,No,https://www.kijiji.ca/v-apartments-condos/ottawa/heart-of-market-furnished-1-br/1488324295,45.4215296,-75.69719309999999
Hudson park 1 Bed + 1 bath Condo for lease immediately,"K2P0A5, Canada","1,800.00",Condo,1,1,650,No,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/hudson-park-1-bed-1-bath-condo-for-lease-immediately/1488288151,45.4163402,-75.6999104
"Centretown, furnished one bedroom apartment for rent","307 Bay Street, K1R5Z7, Ottawa, ON","1,850.00",Apartment,1,1,750,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/centretown-furnished-one-bedroom-apartment-for-rent/1487956153,45.4138264,-75.7027085
1 Bedroom Apartment in Centre Town for Rent,"186 James St, Ottawa, ON K1R 5M7, Canada","1,650.00",Apartment,1 + Den,1,500,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/1-bedroom-apartment-in-centre-town-for-rent/1477254289,45.41067779999999,-75.7008532
1 Bedroom Apartments Furnished/Unfurnished-Available RIght Away!,"488 Gilmour St, Ottawa, ON K1R 5L4, Canada","1,700.00",Apartment,1,1,700,No,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/1-bedroom-apartments-furnished-unfurnished-available-right-away/1484582600,45.4127351,-75.6980233
One Bedroom Apartment,", k7s2n1, Arnprior, ON","1,000.00",Apartment,1,1,600,No,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/one-bedroom-apartment/1487397938,45.4315373,-76.356355
Available immediately Condo Downtown Ottawa **Near uOttawa**,", K1N6B1, Ottawa, ON, Canada","1,800.00",Condo,1,1,900,No,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/available-immediately-condo-downtown-ottawa-near-uottawa/1484387024,45.42760639999999,-75.68593249999999
Fully furnished one bedroom condo for rent May 1st,"216 Viewmount Dr, Nepean, ON K2E 7X2, Canada","1,500.00",Condo,1,1,600,No,No,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/fully-furnished-one-bedroom-condo-for-rent-may-1st/1487204444,45.3439747,-75.72379409999999
